,budget,popularity,revenue,runtime
58,21818607.837143928,0.225707,66682344.3390211,88.0
59,85000000.0,5.295556,66682344.3390211,89.0
60,21818607.837143928,2.683782,66682344.3390211,98.0
61,21818607.837143928,3.742915,66682344.3390211,97.0
62,21818607.837143928,10.754614,5624282.0,91.0
63,21818607.837143928,9.688237,66682344.3390211,113.0
64,18000000.0,12.799853,251212670.0,85.0
65,105000000.0,14.412644,121214377.0,129.0
66,21818607.837143928,0.530702,66682344.3390211,107.0
67,1300000.0,14.092713,28262574.0,114.0
68,1000000.0,11.230031,2554476.0,103.0
69,60000000.0,8.462364,102367405.0,131.0
70,21818607.837143928,0.372697,66682344.3390211,114.0
71,13365000.0,1.254885,66682344.3390211,106.0
72,21818607.837143928,0.243986,1.0,117.0
73,21818607.837143928,0.837313,66682344.3390211,97.0
74,21818607.837143928,3.177318,66682344.3390211,94.0
75,13000000.0,5.975082,27007143.0,91.0
76,21818607.837143928,0.728872,66682344.3390211,105.0
77,379000.0,0.758012,4358000.0,100.0
78,11000000.0,11.333125,153083102.0,106.0
79,21818607.837143928,0.808654,66682344.3390211,89.0
80,50000000.0,7.65502,44547681.0,140.0
81,21818607.837143928,4.266305,66682344.3390211,118.0
82,4000000.0,7.914795,30471420.0,132.0
83,21818607.837143928,7.061315,66682344.3390211,82.0
84,21818607.837143928,4.119907,66682344.3390211,86.0
85,21818607.837143928,5.451623,66682344.3390211,97.0
86,40000000.0,10.39662,8479793.0,94.0
87,21818607.837143928,0.918504,66682344.3390211,125.0
88,21818607.837143928,1.557283,66682344.3390211,172.0
89,21818607.837143928,7.415144,66682344.3390211,102.0
90,21818607.837143928,3.94547,66682344.3390211,117.0
91,12000.0,5.738871,6000000.0,93.0
92,8045760.0,10.357224,35150960.0,95.0
93,25000000.0,13.561368,66682344.3390211,116.0
94,21818607.837143928,10.142662,66682344.3390211,101.0
95,21818607.837143928,1.74817,66682344.3390211,94.0
96,21818607.837143928,15.921964,5186646.0,110.0
97,3000000.0,7.434797,3076820.0,87.0
98,53000000.0,8.657365,157387195.0,116.0
99,21818607.837143928,3.620388,3174695.0,119.0
100,21818607.837143928,5.204937,66682344.3390211,97.0
101,47000000.0,8.304776,103738726.0,103.0
102,21818607.837143928,9.074831,66682344.3390211,67.0
103,21818607.837143928,3.466204,378667.0,104.0
104,21818607.837143928,0.140027,66682344.3390211,94.0
105,21818607.837143928,2.255032,370668.0,111.0
106,21818607.837143928,1.88974,66682344.3390211,82.0
107,500000.0,10.058329,1148752.0,89.0
108,15000000.0,13.412785,10611160.0,122.0
109,21818607.837143928,0.354014,66682344.3390211,100.0
110,21818607.837143928,0.001648,66682344.3390211,97.27631980469943
111,21818607.837143928,0.653879,66682344.3390211,97.0
112,5500000.0,10.517835,141195658.0,130.0
113,21818607.837143928,0.233318,66682344.3390211,61.0
114,100000000.0,9.369918,93700000.0,131.0
115,55000000.0,10.571434,100230832.0,163.0
116,21818607.837143928,0.119713,66682344.3390211,91.0
117,21818607.837143928,8.180047,66682344.3390211,119.0
118,21818607.837143928,1.12301,66682344.3390211,155.0
119,7000000.0,5.552946,8349430.0,112.0
120,21818607.837143928,0.004393,66682344.3390211,89.0
121,41300000.0,12.061521,106371651.0,98.0
122,21818607.837143928,8.133881,66682344.3390211,91.0
123,21818607.837143928,0.978894,66682344.3390211,107.0
