,ID,Adult,Not Adult,NotInCollection,InCollection,English /Non English,ExYear,ExMonth,ExDay,Canceled,In Production,Planned,Post Production,Released,Rumored,Unknown
11321,28180,1,0,1,0,0,2009,6,2,0,0,0,0,1,0,0
11322,28183,1,0,1,0,1,2013,3,3,0,0,0,0,1,0,0
11323,28185,1,0,1,0,1,1997,4,30,0,0,0,0,1,0,0
11324,28186,1,0,1,0,1,1939,5,5,0,0,0,0,1,0,0
11325,28187,1,0,1,0,1,2004,10,9,0,0,0,0,1,0,0
11326,28188,1,0,0,1,1,1968,10,15,0,0,0,0,1,0,0
11327,28189,1,0,1,0,1,1933,8,17,0,0,0,0,1,0,0
11328,28190,1,0,1,0,1,1957,12,20,0,0,0,0,1,0,0
11329,28191,1,0,1,0,1,2006,7,6,0,0,0,0,1,0,0
11330,28192,1,0,0,1,1,2006,6,10,0,0,0,0,1,0,0
11331,28194,1,0,1,0,1,2005,1,21,0,0,0,0,1,0,0
11332,28203,1,0,1,0,1,1963,8,6,0,0,0,0,1,0,0
11333,28205,1,0,0,1,1,2007,2,2,0,0,0,0,1,0,0
11334,28213,1,0,0,1,1,2003,2,25,0,0,0,0,1,0,0
11335,28215,1,0,1,0,1,2006,2,9,0,0,0,0,1,0,0
11336,28216,1,0,1,0,1,2006,1,1,0,0,0,0,1,0,0
11337,28219,1,0,1,0,1,2006,10,9,0,0,0,0,1,0,0
11338,28220,1,0,1,0,0,2015,10,2,0,0,0,0,1,0,0
11339,28228,1,0,0,1,1,2007,7,6,0,0,0,0,1,0,0
11340,28229,1,0,1,0,1,2006,7,9,0,0,0,0,1,0,0
11341,28235,1,0,0,1,0,2006,6,1,0,0,0,0,1,0,0
11342,28237,1,0,1,0,1,2004,12,11,0,0,0,0,1,0,0
11343,28238,1,0,1,0,1,2007,9,20,0,0,0,0,1,0,0
11344,28241,1,0,1,0,1,2007,9,21,0,0,0,0,1,0,0
11345,28246,1,0,1,0,1,1965,10,27,0,0,0,0,1,0,0
11346,28253,1,0,1,0,1,2005,11,18,0,0,0,0,1,0,0
11347,28254,1,0,1,0,1,2007,1,22,0,0,0,0,1,0,0
11348,28255,1,0,1,0,1,2006,10,26,0,0,0,0,1,0,0
11349,28256,1,0,1,0,1,1973,7,2,0,0,0,0,1,0,0
11350,28259,1,0,1,0,0,1996,4,9,0,0,0,0,1,0,0
11351,28264,1,0,1,0,0,2007,1,7,0,0,0,0,1,0,0
11352,28266,1,0,1,0,1,2006,9,9,0,0,0,0,1,0,0
11353,28268,1,0,1,0,1,1978,1,1,0,0,0,0,1,0,0
11354,28269,1,0,1,0,1,1928,2,13,0,0,0,0,1,0,0
11355,28270,1,0,1,0,1,2008,2,22,0,0,0,0,1,0,0
11356,28271,1,0,1,0,1,2006,12,10,0,0,0,0,1,0,0
11357,28273,1,0,1,0,1,2007,5,19,0,0,0,0,1,0,0
11358,28277,1,0,1,0,1,2006,10,18,0,0,0,0,1,0,0
11359,28282,1,0,1,0,1,2008,1,1,0,0,0,0,0,0,1
11360,28283,1,0,1,0,1,2006,9,5,0,0,0,0,1,0,0
11361,28285,1,0,1,0,1,2008,4,23,0,0,0,0,1,0,0
11362,28286,1,0,1,0,1,1976,9,14,0,0,0,0,0,1,0
11363,28288,1,0,1,0,1,2007,1,1,0,0,0,0,1,0,0
11364,28289,1,0,1,0,1,2008,1,18,0,0,0,0,1,0,0
11365,28290,1,0,1,0,1,2013,4,28,0,0,0,0,1,0,0
11366,28291,1,0,0,1,1,2008,12,5,0,0,0,0,1,0,0
11367,28292,1,0,1,0,1,1959,1,10,0,0,0,0,1,0,0
11368,28295,1,0,1,0,1,1982,1,1,0,0,0,0,1,0,0
11369,28297,1,0,0,1,1,2006,1,26,0,0,0,0,1,0,0
11370,28298,1,0,1,0,1,1999,10,7,0,0,0,0,1,0,0
11371,28299,1,0,1,0,1,1996,1,6,0,0,0,0,1,0,0
11372,28300,1,0,1,0,1,2006,9,9,0,0,0,0,1,0,0
11373,28305,1,0,1,0,1,1991,10,9,0,0,0,0,1,0,0
11374,28312,1,0,1,0,1,2014,8,29,0,0,0,0,1,0,0
11375,28314,1,0,1,0,1,2008,8,22,0,0,0,0,1,0,0
11376,28315,1,0,1,0,1,2008,5,9,0,0,0,0,1,0,0
11377,28323,1,0,0,1,1,2002,1,19,0,0,0,0,1,0,0
11378,28324,1,0,1,0,1,2008,10,27,0,0,0,0,1,0,0
11379,28326,1,0,1,0,1,2014,3,15,0,0,0,0,1,0,0
11380,28338,1,0,1,0,1,2005,3,18,0,0,0,0,1,0,0
11381,28339,1,0,0,1,1,1992,10,6,0,0,0,0,1,0,0
11382,28344,1,0,1,0,0,2010,6,24,0,0,0,0,1,0,0
11383,28346,1,0,1,0,1,2008,4,3,0,0,0,0,1,0,0
11384,28352,1,0,1,0,1,1955,10,28,0,0,0,0,1,0,0
11385,28358,1,0,1,0,1,2008,12,2,0,0,0,0,1,0,0
11386,28362,1,0,1,0,1,2002,11,18,0,0,0,0,1,0,0
11387,28364,1,0,1,0,1,2008,8,3,0,0,0,0,1,0,0
11388,28366,1,0,1,0,1,2009,4,17,0,0,0,0,1,0,0
11389,28368,1,0,1,0,1,2011,7,28,0,0,0,0,1,0,0
11390,28369,1,0,1,0,0,2007,6,6,0,0,0,0,1,0,0
11391,28370,1,0,1,0,1,1973,12,2,0,0,0,0,1,0,0
11392,28371,1,0,1,0,1,1928,11,20,0,0,0,0,1,0,0
11393,28376,1,0,1,0,1,1935,7,5,0,0,0,0,1,0,0
11394,28379,1,0,0,1,0,2008,12,18,0,0,0,0,1,0,0
11395,28382,1,0,1,0,1,1972,1,1,0,0,0,0,1,0,0
11396,28383,1,0,1,0,1,1935,3,15,0,0,0,0,1,0,0
11397,28384,1,0,1,0,0,1952,3,21,0,0,0,0,1,0,0
11398,28385,1,0,1,0,0,1978,8,30,0,0,0,0,1,0,0
11399,28386,1,0,1,0,1,2008,1,29,0,0,0,0,1,0,0
