,budget,popularity,revenue,runtime
68,21282480.35396736,2.124785,71960671.26235613,92.0
69,21282480.35396736,3.027195,71960671.26235613,128.0
70,250000.0,1.924535,609524.0,85.0
71,9000000.0,3.847088,71960671.26235613,91.0
72,15000000.0,3.773058,71960671.26235613,109.0
73,520000.0,5.394715,71960671.26235613,91.0
74,21282480.35396736,4.418591,71960671.26235613,100.0
75,6000000.0,9.103168,71960671.26235613,132.0
76,21282480.35396736,2.098149,71960671.26235613,102.0
77,21282480.35396736,0.078239,71960671.26235613,105.0
78,60000000.0,10.278274,71000000.0,128.0
79,27000.0,10.513367,3151130.0,92.0
80,21282480.35396736,5.077092,71960671.26235613,110.0
81,2111250.0,3.446446,71960671.26235613,98.0
82,55000000.0,10.308442,56932305.0,110.0
83,21282480.35396736,0.022568,71960671.26235613,85.0
84,21282480.35396736,4.860016,7294403.0,123.0
85,3000000.0,4.506948,12800000.0,110.0
86,3000000.0,8.733192,7282851.0,97.0
87,30000000.0,3.034244,3180674.0,101.0
88,21282480.35396736,2.272983,71960671.26235613,87.0
89,21282480.35396736,2.958988,810455.0,144.0
90,21282480.35396736,7.390658,1300000.0,79.0
91,1814462.0,7.505268,71960671.26235613,112.0
92,35000000.0,13.349518,36779296.0,106.0
93,30.0,5.568359,103.0,78.0
94,18000000.0,9.774994,71960671.26235613,115.0
95,17000000.0,7.731725,71960671.26235613,97.0
96,1900000.0,1.075939,2070806.0,104.0
97,21282480.35396736,0.413762,71960671.26235613,108.0
98,30000000.0,12.199047,160638883.0,133.0
99,60000000.0,13.214068,105178561.0,104.0
100,21282480.35396736,0.001712,71960671.26235613,107.0
101,21282480.35396736,1.151937,71960671.26235613,87.0
102,21282480.35396736,1.555163,71960671.26235613,93.0
103,21282480.35396736,4.782781,71960671.26235613,105.0
104,16000000.0,1.835663,4594452.0,102.0
105,21282480.35396736,6.250816,71960671.26235613,102.0
106,21282480.35396736,4.025276,2201126.0,99.0
107,21282480.35396736,3.584709,71960671.26235613,93.0
108,21282480.35396736,0.463307,71960671.26235613,94.0
109,8000000.0,140.950236,213928762.0,154.0
110,21282480.35396736,2.852149,71960671.26235613,93.0
111,21282480.35396736,7.772505,71960671.26235613,133.0
112,21282480.35396736,4.405405,71960671.26235613,162.0
113,21282480.35396736,4.101369,4574762.0,103.0
114,21282480.35396736,3.122717,2689068.0,124.0
115,21282480.35396736,7.784939,71960671.26235613,95.0
116,21282480.35396736,7.832755,71960671.26235613,99.0
117,21282480.35396736,8.843517,71960671.26235613,98.0
118,21282480.35396736,1.878553,71960671.26235613,111.0
119,21282480.35396736,0.143611,71960671.26235613,133.0
120,21282480.35396736,9.133206,71960671.26235613,97.0
121,21282480.35396736,13.889303,71960671.26235613,90.0
122,21282480.35396736,0.93291,71960671.26235613,84.0
123,21282480.35396736,1.777197,71960671.26235613,108.0
124,21282480.35396736,0.109362,71960671.26235613,97.0
125,21282480.35396736,0.505588,71960671.26235613,80.0
126,21282480.35396736,1.152225,71960671.26235613,133.0
127,20000000.0,10.991137,75597042.0,127.0
128,50000000.0,9.645801,56714147.0,120.0
129,5000000.0,11.298195,1862805.0,139.0
130,16000000.0,9.987317000000001,71960671.26235613,112.0
131,15000000.0,15.799336,94000000.0,102.0
132,63000000.0,8.786653,296655431.0,94.0
133,1900000.0,0.653271,240093.0,102.0
134,150000.0,9.203416,2891288.0,78.0
135,21282480.35396736,0.483134,71960671.26235613,73.0
136,21282480.35396736,4.197955,71960671.26235613,91.0
137,21282480.35396736,2.123277,71960671.26235613,128.0
138,45000000.0,21.605761,788241776.0,89.0
139,8000000.0,5.717082,71960671.26235613,111.0
140,21282480.35396736,6.558858,71960671.26235613,110.0
141,2000000.0,3.399621,71960671.26235613,95.0
142,21282480.35396736,8.40322,71960671.26235613,105.0
143,21282480.35396736,1.51734,71960671.26235613,103.0
144,21282480.35396736,1.01416,71960671.26235613,90.0
145,21282480.35396736,0.752094,71960671.26235613,89.0
146,21282480.35396736,1.09807,71960671.26235613,90.0
147,47000000.0,10.642824,30002758.0,99.0
148,21282480.35396736,1.320642,71960671.26235613,55.0
149,21282480.35396736,1.552655,71960671.26235613,101.0
150,21282480.35396736,9.390673,71960671.26235613,92.0
151,21282480.35396736,0.381704,71960671.26235613,61.0
152,21282480.35396736,3.389796,71960671.26235613,113.0
153,21282480.35396736,0.142357,71960671.26235613,89.0
154,7000000.0,1.782377,4720371.0,113.0
155,21282480.35396736,5.033047,71960671.26235613,106.0
156,21282480.35396736,1.888534,71960671.26235613,105.0
157,21282480.35396736,1.022275,71960671.26235613,102.0
158,21282480.35396736,0.91269,71960671.26235613,149.0
159,3500000.0,2.827496,71960671.26235613,122.0
160,21282480.35396736,1.449361,71960671.26235613,107.0
161,21282480.35396736,0.668037,71960671.26235613,93.0
162,130000000.0,8.191436,273339556.0,147.0
163,55000000.0,14.397139,231449203.0,103.0
164,21282480.35396736,8.73915,12991996.0,117.0
165,21282480.35396736,0.557885,71960671.26235613,96.0
166,21282480.35396736,5.809807,6330000.0,88.0
167,21282480.35396736,1.387117,71960671.26235613,96.0
168,21282480.35396736,1.210809,71960671.26235613,127.0
169,22000000.0,6.115628,17287898.0,121.0
170,23000000.0,12.511561,20246790.0,104.0
171,300000.0,4.19275,71960671.26235613,81.0
172,17000000.0,9.548519,1569918.0,98.0
173,21282480.35396736,9.968395,7286388.0,135.0
174,21282480.35396736,0.408159,71960671.26235613,109.0
175,21282480.35396736,7.008512,31466789.0,101.0
176,65000000.0,10.527191,71960671.26235613,117.0
177,21282480.35396736,6.627273,71960671.26235613,95.0
178,21282480.35396736,1.645134,71960671.26235613,102.0
179,21282480.35396736,0.594437,71960671.26235613,72.0
180,18000000.0,1.975174,19265302.0,94.0
181,21282480.35396736,2.81672,71960671.26235613,95.0
182,28000000.0,13.157873,102356381.0,101.0
183,12000000.0,3.223039,31179516.0,97.0
184,21282480.35396736,4.459959,11567449.0,136.0
185,30000000.0,7.550545,71960671.26235613,111.0
186,21282480.35396736,9.337393,18994653.0,98.0
187,21282480.35396736,4.63932,71960671.26235613,91.0
188,21282480.35396736,7.270805,71960671.26235613,90.0
189,21282480.35396736,5.141952,918239.0,92.0
190,21282480.35396736,0.525019,71960671.26235613,101.0
191,21282480.35396736,1.078703,20419446.0,96.0
192,3000000.0,0.396431,71960671.26235613,113.0
193,2300000.0,2.01799,11000000.0,107.0
194,21282480.35396736,3.495966,71960671.26235613,111.0
195,13500000.0,8.939404,11285588.0,104.0
196,21282480.35396736,0.125076,71960671.26235613,103.0
197,21282480.35396736,0.534606,71960671.26235613,91.0
198,8000000.0,8.62724,71960671.26235613,111.0
199,21282480.35396736,1.355567,71960671.26235613,93.0
200,25000000.0,11.16553,441286195.0,125.0
201,22000000.0,4.196125,11000863.0,84.0
202,21282480.35396736,3.847676,71960671.26235613,108.0
203,26000000.0,13.373006,206678440.0,125.0
204,60000000.0,8.172707,256697520.0,108.0
205,80000000.0,13.02369,78000586.0,114.0
206,1200000.0,6.942907,3109904.0,90.0
207,12000000.0,5.914833,22750363.0,114.0
208,60000000.0,11.945666,61347797.0,97.0
